transaction_id,post_ts,customer_id,terminal_id,amt,entry_mode,Amt_Avg_Daily,Amount_StdDevn_Daily,TrxnCount_Avg_Daily,mcc,MerchantType
7_k4RNd1TNGGCWbvOi2-xw,02/01/2023 0:02,C00003455,T001022,7.55,Swipe,6.394766239,3.197383119,1.87447699,5812,Sit Down Diner
fOJOvd3HQ_eA9zaFnG1PEA,02/01/2023 1:49,C00004513,T001022,7.77,Swipe,18.22584653,9.112923264,2.086506866,5812,Sit Down Diner
6lM5YTVYSk-iwBP6Qxu2gQ,02/01/2023 0:10,C00002552,T001000,94.81,Swipe,74.72653559,37.3632678,3.349467643,5812,Sit Down Diner
x429OeLLSfmY0R18O73BvA,02/01/2023 1:20,C00002911,T001000,69.01,Swipe,47.12129526,23.56064763,2.417155548,5812,Sit Down Diner
I67hYUbHRl2vQzVBqt2kXQ,02/01/2023 4:51,C00001021,T001000,41.32,Swipe,58.83389063,29.41694532,2.055386247,5812,Sit Down Diner
caypN3NOSvWEV2_dOtoBCA,02/01/2023 21:07,C00001000,T001039,27.91,Swipe,27.21859864,13.60929932,3.810867216,5600,Department Stores
C9lIYHlISumoXQ8Hj5W-TA,02/01/2023 15:47,C00001021,T001001,37.7,Swipe,58.83389063,29.41694532,2.055386247,3504,Hotels
flRSLCFXSJKoVlrWZZiAMA,02/02/2023 7:38,C00001000,T001056,16.17,Swipe,27.21859864,13.60929932,3.810867216,5600,Department Stores
AGvjQbECQTiJnau_DDCnbQ,02/01/2023 1:41,C00004092,T001002,32.06,Swipe,79.29030076,39.64515038,3.635713266,5814,Fast Food Restaurants
xP3HJuViQLWUXVwhHGBssQ,02/01/2023 2:06,C00004579,T001003,64.52,Swipe,67.3329333,33.66646665,3.738869124,4582,Transportation Services
BxFUZ4VoToGlQNorasFkuw,02/01/2023 2:31,C00002341,T001003,86.64,Swipe,93.21277257,46.60638628,1.513879364,4582,Transportation Services
-xtIzUwMQJaNoBwbOtH0tQ,02/02/2023 3:46,C00004513,T001005,21.7,Swipe,18.22584653,9.112923264,2.086506866,5611,Department Stores
84JJRVegQg2x7sppLCN0HA,02/01/2023 15:11,C00001010,T001005,10.84,Swipe,9.172139075,4.586069537,1.77488581,5611,Department Stores
6GnrK0iFQACcK7iVq0s94A,02/02/2023 9:55,C00001013,T001005,127.82,Swipe,75.38599416,37.69299708,3.864488203,5611,Department Stores
TJpX_db4TH-fCISHu9U6ew,02/01/2023 1:21,C00001203,T001005,60.15,Swipe,46.59473791,23.29736896,2.137774538,5611,Department Stores
6TJ7c7MfQymWk1-HUbmZsg,02/01/2023 1:48,C00002823,T001005,101.08,Swipe,54.15325272,27.07662636,3.697650876,5611,Department Stores
bFEKNd38Qs696k7u_b7AjA,02/01/2023 0:42,C00001646,T001004,30.9,Swipe,33.57276196,16.78638098,2.046542237,3503,Hotels
FAaG4iWYQCSAo88DUd9Akw,02/01/2023 13:16,C00001029,T001004,23.81,Swipe,16.7484886,8.3742443,1.391175857,3503,Hotels
uuFp1nUEQKSt-QikYCA5xg,02/02/2023 9:15,C00004513,T001063,14.04,Swipe,18.22584653,9.112923264,2.086506866,1731,Electrical Contractors
cQOfmBUURIypMLQWFr3L9A,02/01/2023 0:05,C00005538,T001063,21.56,Swipe,18.72927133,9.364635666,3.108208968,1731,Electrical Contractors
TiCjVdHoRPi1pl5KsQdRwg,02/01/2023 0:26,C00004370,T001006,5.39,Swipe,7.666483583,3.833241792,3.600503458,5812,Sit Down Diner
8JHEmFgWSYyAXAy8Wa_utQ,02/01/2023 2:34,C00005457,T001006,140.08,Swipe,75.99472275,37.99736137,2.353199208,5812,Sit Down Diner
VnwGf9-oRTOnR0xMOZbYXw,02/01/2023 4:52,C00001002,T001043,47.54,Swipe,89.9518151,44.97590755,2.233588897,5813,Bars and Taverns
QUzuqJQLTQmMZAbloyjuiQ,02/01/2023 14:32,C00001002,T001071,96.13,Swipe,89.9518151,44.97590755,2.233588897,5812,Sit Down Diner
oeLduXcdT82_NlbVscQPvg,02/01/2023 0:07,C00001128,T001071,70.15,Swipe,45.17520343,22.58760172,2.376466441,5812,Sit Down Diner
31NtwscAScWCqFskhleGYw,02/01/2023 0:15,C00005114,T001071,20.97,Swipe,60.48136322,30.24068161,3.276036044,5812,Sit Down Diner
R-uaNrXzTSyKk1QY-LnKEw,02/01/2023 0:38,C00002324,T001071,73.62,Swipe,74.74027646,37.37013823,3.291680101,5812,Sit Down Diner
90UFibG3QFe4a63OU5SJzA,02/01/2023 0:28,C00002490,T001008,4.58,Swipe,15.59227562,7.796137808,0.641885021,5732,Department Stores
9goyGhB5QMi_1eO0uBPalQ,02/01/2023 2:00,C00004912,T001008,32.18,Swipe,48.15345561,24.0767278,0.284560871,5732,Department Stores
sqsuh32lR0yFvSs5era1_A,02/01/2023 11:38,C00001004,T001009,47.37,Swipe,82.13507959,41.0675398,2.82564491,5813,Bars and Taverns
JF4iD2HuTV6H0w-5MetSUw,02/01/2023 0:48,C00002674,T001009,32.68,Swipe,39.64949564,19.82474782,1.178726502,5813,Bars and Taverns
lb7SQkTMSyS1Gh8QaW7DdA,02/01/2023 1:42,C00003766,T001009,30.12,Swipe,40.57502788,20.28751394,3.803861726,5813,Bars and Taverns
FgrHtCxtQCGS4w5r_FSO9w,02/01/2023 18:19,C00002911,T001053,25.36,Swipe,47.12129526,23.56064763,2.417155548,5814,Fast Food Restaurants
r4lohHrQTxSONFNIC9avDw,02/01/2023 12:26,C00001021,T001053,39.44,Swipe,58.83389063,29.41694532,2.055386247,5814,Fast Food Restaurants
hxKLaiwjR4O69sdpBlm_OA,02/01/2023 19:07,C00001598,T001010,33.09,Swipe,28.01285887,14.00642943,3.813037787,3501,Hotels
AY7b55q_SpKx4j3ANRPhLw,02/02/2023 11:42,C00001598,T001010,25.43,Swipe,28.01285887,14.00642943,3.813037787,3501,Hotels
C4YIwdtSSxSuetPEH7c0zw,02/01/2023 2:24,C00001598,T001011,46.78,Swipe,28.01285887,14.00642943,3.813037787,5814,Fast Food Restaurants
FASvhlJYSzuhxgtLVQn4mQ,02/01/2023 2:37,C00004557,T001011,1.41,Swipe,5.556822364,2.778411182,0.579813301,5814,Fast Food Restaurants
xLJUVLaJSPeHCyZjpR9bvQ,02/01/2023 11:01,C00005538,T001052,22.16,Swipe,18.72927133,9.364635666,3.108208968,5814,Fast Food Restaurants
6fGA0debTwGxwaGK9ngobQ,02/01/2023 2:29,C00005201,T001012,69.36,Swipe,63.17255224,31.58627612,3.891344432,5812,Sit Down Diner
QWYq7BVfTtm2U14VkarK4g,02/01/2023 9:31,C00005201,T001012,87.54,Swipe,63.17255224,31.58627612,3.891344432,5812,Sit Down Diner
AphNRz2_Sxm3_ZSVFmpNIg,02/01/2023 14:58,C00001016,T001013,150.37,Swipe,86.75873174,43.37936587,1.92716173,5601,Department Stores
cX8neGIvSrSdX0R0seKchA,02/01/2023 12:44,C00001004,T001076,205.34,Swipe,82.13507959,41.0675398,2.82564491,5814,Fast Food Restaurants
lkLI6a0MRNe8_SDPkrg7mg,02/01/2023 16:12,C00001004,T001074,83.51,Swipe,82.13507959,41.0675398,2.82564491,5814,Fast Food Restaurants
YDl8CB67TRuIXmQj-F_64g,02/02/2023 10:49,C00001023,T001074,11.36,Swipe,46.96340876,23.48170438,3.57917854,5814,Fast Food Restaurants
zKCaMOkZSRe5cjGuopNGmg,02/01/2023 15:43,C00005932,T001015,60.03,Swipe,24.01132912,12.00566456,1.556663784,5812,Sit Down Diner
glMX_9jrQGmkfhrQhjjF_A,02/01/2023 15:55,C00005029,T001015,45.53,Swipe,56.92844612,28.46422306,2.447039036,5812,Sit Down Diner
5MiPuHGySWyYzdd4uYKxww,02/01/2023 18:37,C00001011,T001016,57.57,Swipe,39.20529601,19.60264801,0.786265005,5661,Department Stores
3-UCKaMmTryOHQ7E5bAEYg,02/02/2023 2:02,C00001031,T001016,48.71,Swipe,89.80098999,44.900495,1.857062231,5661,Department Stores
4JJRke4XQ5aT3Tqp6TAbgw,02/01/2023 13:32,C00001128,T001077,13.67,Swipe,45.17520343,22.58760172,2.376466441,5814,Fast Food Restaurants
Fhp3_06QQM6gr7TZyNfQqA,02/01/2023 16:22,C00001128,T001046,64.13,Swipe,45.17520343,22.58760172,2.376466441,763,Others
lcb7HTfVRjqkE7YK8pqPGw,02/01/2023 0:20,C00005932,T001018,37.5,Swipe,24.01132912,12.00566456,1.556663784,5603,Department Stores
SmvSTQP4TV-B2TGfo0rzoA,02/01/2023 4:15,C00001005,T001030,68.99,Swipe,49.44197128,24.72098564,1.988767588,5992,Department Stores
YR3l-EBRSzyza_P9wWQ87g,02/01/2023 9:43,C00001005,T001019,38.7,Swipe,49.44197128,24.72098564,1.988767588,5812,Sit Down Diner
A8u5NtIeRhyb2u8J1orGpw,02/01/2023 4:24,C00001029,T001021,27.5,Swipe,16.7484886,8.3742443,1.391175857,5651,Department Stores
TBFMOWGjR3agRHYYgIYR6A,02/01/2023 19:46,C00005114,T001088,89.04,Swipe,60.48136322,30.24068161,3.276036044,780,Others
Wmcro-cfRoKBivlmYDPHpg,02/02/2023 8:14,C00005114,T001088,41.64,Swipe,60.48136322,30.24068161,3.276036044,780,Others
FlswdhhGTpO0jeB2BeZpyg,02/01/2023 1:53,C00002818,T001088,8.42,Swipe,8.03578834,4.01789417,2.815194961,780,Others
5Ozpfw2MQ3O19cOiaycArQ,02/01/2023 0:25,C00004727,T001088,55.14,Swipe,41.10133906,20.55066953,3.16085394,780,Others
lP9EeXnpTbmzAB1juBtCtA,02/01/2023 6:12,C00004727,T001088,14.71,Swipe,41.10133906,20.55066953,3.16085394,780,Others
vwLt2hTGT92M65O__Y9Zrg,02/02/2023 11:16,C00005114,T001072,45.14,Swipe,60.48136322,30.24068161,3.276036044,5812,Sit Down Diner
VREDgO8QRs-3bxojRsJstQ,02/02/2023 2:23,C00001018,T001072,50.85,Swipe,36.88819628,18.44409814,2.649041946,5812,Sit Down Diner
txP-9D70RNucC3BEnVUIig,02/02/2023 9:31,C00001007,T001069,16.11,Swipe,38.19426599,19.097133,1.350964912,3502,Hotels
mrT_DiezQjWPgLUwAEPiQA,02/01/2023 0:24,C00003927,T001069,11.33,Swipe,22.08993499,11.04496749,2.083056852,3502,Hotels
GiRz3dW-QRmMf5W3yB8CXw,02/02/2023 11:50,C00003927,T001069,20.59,Swipe,22.08993499,11.04496749,2.083056852,3502,Hotels
5oZ-tyVGRVOpF220WpSnYA,02/01/2023 2:12,C00002818,T001069,10.91,Swipe,8.03578834,4.01789417,2.815194961,3502,Hotels
Vw_fFuUESZWzf8vPhMJUAg,02/01/2023 13:20,C00001033,T001027,8.77,Swipe,5.550148598,2.775074299,0.909552677,5812,Sit Down Diner
vF75Jh4KQ0KGdP6GaS1FZA,02/01/2023 3:26,C00001021,T001028,91.71,Swipe,58.83389063,29.41694532,2.055386247,5812,Sit Down Diner
nmYbhUNGSSSaYRitPqnIPA,02/01/2023 3:43,C00004579,T001034,93.28,Swipe,67.3329333,33.66646665,3.738869124,5814,Fast Food Restaurants
dejA6G36SLSobbWetXq3Fw,02/01/2023 17:05,C00001009,T001034,74.05,Swipe,46.82159468,23.41079734,2.34202096,5814,Fast Food Restaurants
u9PjluDkRkaCvwccEes7AA,02/02/2023 7:25,C00001009,T001034,49.79,Swipe,46.82159468,23.41079734,2.34202096,5814,Fast Food Restaurants
ocU1MD9CQi6E1CHF1KZhAA,02/01/2023 6:56,C00001014,T001029,51.74,Swipe,51.48643145,25.74321573,3.268831967,5992,Department Stores
CcEEp94pSyWX2XYgBZbljQ,02/01/2023 9:49,C00001009,T001090,79.09,Swipe,46.82159468,23.41079734,2.34202096,5812,Sit Down Diner
O9Z3CpwPQTqtHFF-sIU-iQ,02/01/2023 7:37,C00001023,T001090,50.8,Swipe,46.96340876,23.48170438,3.57917854,5812,Sit Down Diner
5uZ7iFSjQSGbiRHeDKTJvw,02/01/2023 15:42,C00001023,T001090,58.33,Swipe,46.96340876,23.48170438,3.57917854,5812,Sit Down Diner
2dd-nNLNRlSlQqRhS6Kfgg,02/01/2023 8:06,C00001017,T001031,63.51,Swipe,84.97295479,42.48647739,3.589227308,4121,Transportation Services
